scorer,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick
bodyparts,R,R,U,U,MH,MH,2K,2K,3K,3K,4K,4K,5K,5K,1L,1L,2L,2L,3L,3L,4L,4L,5L,5L,1M,1M,2M,2M,3M,3M,4M,4M,5M,5M,1U,1U,2U,2U,3U,3U,4U,4U,5U,5U,S,S,MP,MP,E,E
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data/ClosedHand_Contracted/img014.png,245.66637416637425,158.54527904527902,250.38381888381898,231.32871182871185,168.16549666549676,192.9152334152334,105.49087399087406,155.84959634959637,115.5996840996842,184.15426465426464,,,,,176.25254475254482,116.08827658827659,108.86047736047746,110.69691119691117,,,,,,,135.8173043173044,83.74008424008423,,,,,,,,,116.94752544752552,96.54457704457707,,,,,,,,,,,,,520.6260091260092,141.02334152334151
labeled-data/ClosedHand_Contracted/img025.png,247.68813618813627,154.501755001755,247.01421551421558,232.00263250263248,159.40452790452795,204.37188487188484,106.83871533871539,159.2191997191997,112.90400140400149,188.87170937170936,,,,,182.99175149175156,122.15356265356263,111.55616005616011,110.69691119691117,,,,,,,136.49122499122504,84.41400491400492,,,,,,,,,119.64320814320823,96.54457704457707,,,,,,,,,,,,,510.5171990171991,139.6755001755002
labeled-data/ClosedHand_Contracted/img034.png,246.3402948402949,152.47999297999297,244.99245349245356,226.61126711126713,169.51333801333809,198.3065988065988,107.51263601263608,156.523517023517,113.57792207792212,184.82818532818533,,,,,180.29606879606885,110.69691119691117,108.86047736047746,109.34906984906985,,,,,,,139.18690768690774,84.41400491400492,,,,,,,,,116.94752544752552,97.89241839241839,,,,,,,,,,,,,517.9303264303265,139.0015795015795
labeled-data/ClosedHand_Contracted/img036.png,246.3402948402949,154.501755001755,247.68813618813627,229.30694980694977,162.77413127413135,201.6762021762022,108.18655668655677,162.5888030888031,114.9257634257635,190.21955071955074,,,,,182.99175149175156,118.1100386100386,105.49087399087406,113.39259389259388,,,,,,,134.46946296946302,86.43576693576694,,,,,,,,,115.5996840996842,97.2184977184977,,,,,,,,,,,,,517.9303264303265,134.95805545805547
labeled-data/ClosedHand_Contracted/img050.png,247.01421551421558,161.9148824148824,240.27500877500884,232.67655317655317,168.8394173394174,209.76325026325026,106.83871533871539,163.93664443664443,116.27360477360483,194.26307476307477,,,,,180.96998946998954,114.74043524043526,110.20831870831879,113.39259389259388,,,,,,,136.49122499122504,84.41400491400492,,,,,,,,,117.62144612144621,99.91418041418041,,,,,,,,,,,,,515.9085644085645,139.0015795015795
labeled-data/ClosedHand_Contracted/img054.png,259.81870831870833,166.63232713232713,264.5361530361531,231.32871182871185,160.75236925236933,207.74148824148824,111.55616005616011,171.34977184977186,115.5996840996842,194.26307476307477,,,,,185.68743418743426,120.8057213057213,110.20831870831879,117.43611793611791,,,,,,,135.8173043173044,89.80537030537033,,,,,,,,,114.9257634257635,102.60986310986311,,,,,,,,,,,,,517.2564057564058,130.24061074061075
labeled-data/ClosedHand_Contracted/img073.png,305.6453141453143,186.17602667602665,317.10196560196573,258.9594594594595,224.10091260091266,246.82888732888733,141.20866970866976,205.71972621972623,149.29571779571788,234.69831519831519,,,,,220.05738855738863,149.78431028431027,129.7520182520183,149.11038961038963,,,,,,,156.7088452088453,116.08827658827659,,,,,,,,,133.7955422955424,128.89276939276937,,,,,,,,,,,,,509.8432783432785,129.56669006669006
labeled-data/ClosedHand_Contracted/img074.png,310.36275886275894,190.21955071955074,312.38452088452095,261.65514215514213,215.3399438399439,244.13320463320463,144.57827307827316,207.06756756756755,152.66532116532122,236.7200772200772,,,,,218.03562653562662,140.34942084942082,131.09985959985968,153.82783432783435,,,,,,,162.10021060021066,116.76219726219728,,,,,,,,,135.8173043173044,132.93629343629345,,,,,,,,,,,,,511.19111969111975,135.6319761319761
